[2026-01-15 17:48:58,094] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 17:48:58,112] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:48:58,132] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:48:58,152] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:48:58,169] INFO in server: Request: PUT /api/cart/update/1 from 127.0.0.1
[2026-01-15 17:48:58,187] INFO in server: Request: PUT /api/cart/update/99999 from 127.0.0.1
[2026-01-15 17:48:58,211] INFO in server: Request: DELETE /api/cart/remove/99999 from 127.0.0.1
[2026-01-15 17:48:58,229] INFO in server: Request: GET / from 127.0.0.1
[2026-01-15 17:48:58,259] INFO in server: Request: GET /home from 127.0.0.1
[2026-01-15 17:48:58,281] INFO in server: Request: GET /pricing from 127.0.0.1
[2026-01-15 15:51:25,954] INFO in logger: Logger initialized
[2026-01-15 15:51:26,307] INFO in logger: Logger initialized
[2026-01-15 15:51:28,497] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,503] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,508] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,512] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,517] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,521] INFO in server: Request: GET / from 172.19.0.1
[2026-01-15 15:51:28,569] INFO in server: Request: GET /pricing from 172.19.0.1
[2026-01-15 15:51:28,578] INFO in server: Request: GET / from 172.19.0.1
[2026-01-15 15:51:28,582] INFO in server: Request: GET /static/ from 172.19.0.1
[2026-01-15 15:51:28,586] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,590] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,593] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,597] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:28,601] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 17:51:42,786] INFO in logger: Logger initialized
[2026-01-15 15:51:42,806] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,810] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,814] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,818] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,822] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,826] INFO in server: Request: GET / from 172.19.0.1
[2026-01-15 15:51:42,829] INFO in server: Request: GET /pricing from 172.19.0.1
[2026-01-15 15:51:42,833] INFO in server: Request: GET / from 172.19.0.1
[2026-01-15 15:51:42,836] INFO in server: Request: GET /static/ from 172.19.0.1
[2026-01-15 15:51:42,838] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,841] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,844] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,846] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 15:51:42,848] INFO in server: Request: GET /health from 172.19.0.1
[2026-01-15 17:51:42,854] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 17:51:42,876] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 17:51:42,895] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 17:51:42,911] INFO in server: Request: POST /api/cart/add from 127.0.0.1
[2026-01-15 17:51:42,927] INFO in server: Request: POST /api/cart/add from 127.0.0.1
